;parent id;title;kod
1;0;1.2 микропластины;
2;1;1.2 микро пластины 0.6 мм;
3;2;Прямая, 4 отв;404.00
4;2;Прямая, 6 отв;404.01
5;2;Прямая, 8 отв;404.02
6;2;Прямая, 16 отв;404.03
7;2;L-образная, короткая, правая;406.01
8;2;L-образная, короткая, левая;406.00
9;2;L-образная, длинная, правая;407.01
10;2;L-образная, длинная, левая;407.00
11;2;Т-образная;409.01
12;2;Y-образная, длинная;412.00
13;2;X-образная, короткая;413.00
14;2;X-образная, длинная;414.01
15;2;H-образная;410.10
16;2;C-образная;415.01
17;2;Трепанационная, малая;418.00
18;2;Трепанационная, большая;418.10
19;1;Винты самонарезающие диаметр 1.2;
20;19;3 мм;401.00
21;19;4 мм;401.01
22;19;5 мм;401.02
23;19;6 мм;401.03
24;19;8 мм;401.04
25;19;10 мм;401.05
26;19;12 мм;401.06
27;19;14 мм;401.07
28;1;инструменты;
29;28;Сверло 0.9 мм, 44 / 8 мм;419.01
30;28;Сверло 0.95 мм, 44 / 8 мм;419.00
31;28;Сверло 0.95 мм, 23 / 9 мм;643.02
32;28;Жало сменное;422.11
33;28;Отвертка для углового наконечника 17мм;421.01
34;28;Отвертка для углового наконечника 25мм;421.03
35;28;Рукоятка поворотная универсальная, 88 мм;522.00
36;28;Глубиномер, 125 мм;450.00
37;28;Пинцет, 140 мм;444.00
38;28;Кассета-укладка для пластин;461.00
39;28;Кассета-укладка для винтов;460.00
40;0;1.5 Мини-пластины;
41;40;1.5 Мини-пластины низкопрофильные  толщина 0.6 мм;
42;41;Прямая, длинная,4 отв.;505.00
43;41;Прямая, 4 отв;504.00
44;41;Прямая, 6 отв.;504.01
45;41;Прямая, 8 отв.;504.02
46;41;Прямая, 16 отв;504.03
47;41;L-образная, короткая, левая;506.00
48;41;L-образная, короткая, правая;506.01
49;41;L-образная, длинная, левая;507.00
50;41;L-образная, длинная, правая;507.01
51;41;T-образная, короткая;508.00
52;41;T-образная, длинная;509.00
53;41;Н-образная, двойная;510.00
54;41;Y-образная, короткая;511.00
55;41;Y-образная, длинная;512.00
56;41;X-образная, короткая;513.00
57;41;X-образная, длинная;514.00
58;41;С-образная, короткая;515.00
59;41;С-образная, длинная;515.01
60;41;Пластина сетчатая 177.5 х 75.5 х 0.6 мм;16.01
61;41;Пластина сетчатая 177.5 х 75.5 х 0.6 мм;17.01
62;40;1.5 Винты самонарезающие;
63;62;4 мм;501.00
64;62;5 мм;501.01
65;62;6 мм;501.02
66;62;8 мм;501.03
67;62;10 мм;501.04
68;62;12 мм;501.05
69;62;14 мм;501.06
70;62;запасные диаметр 1.8  - 5 мм;502.00
71;62;запасные диаметр 1.8  - 6 мм;502.01
72;40;1.5 Винты самосверлящие;
73;72;4 мм;501.10
74;72;5 мм;501.11
75;72;6 мм;501.12
76;40;1.5 Инструменты;
77;77;Сверло 1.2 мм, 44 / 10 мм;519.00
78;77;Сверло 1.2 мм, 100 / 8 мм;519.01
79;77;Сверло 1.2 мм, 23 / 9 мм;642.02
80;77;Отвертка поворотная, 170 мм;521.00
81;77;Отвертка, 170 мм;520.00
